lead_email,type,channel,duration
anis.daldoul1001@novalead.tn,meeting,physical,966
anis.daldoul1001@novalead.tn,form_submit,web,75
anis.daldoul1001@novalead.tn,form_submit,web,211
anis.daldoul1001@novalead.tn,form_submit,web,121
anis.daldoul1001@novalead.tn,email_opened,email,73
anis.daldoul1001@novalead.tn,email_opened,email,67
anis.daldoul1001@novalead.tn,email_opened,email,194
anis.daldoul1001@novalead.tn,email_opened,email,38
anis.daldoul1001@novalead.tn,website_visit,web,49
anis.daldoul1001@novalead.tn,website_visit,web,144
anis.daldoul1001@novalead.tn,website_visit,web,246
anis.daldoul1001@novalead.tn,website_visit,web,75
sabri.baccouche1002@novalead.tn,meeting,physical,1255
sabri.baccouche1002@novalead.tn,meeting,physical,2845
sabri.baccouche1002@novalead.tn,meeting,physical,1932
sabri.baccouche1002@novalead.tn,meeting,physical,3127
sabri.baccouche1002@novalead.tn,form_submit,web,107
sabri.baccouche1002@novalead.tn,email_opened,email,41
sabri.baccouche1002@novalead.tn,email_opened,email,82
sabri.baccouche1002@novalead.tn,email_opened,email,181
sabri.baccouche1002@novalead.tn,email_opened,email,44
sabri.baccouche1002@novalead.tn,website_visit,web,247
sabri.baccouche1002@novalead.tn,website_visit,web,209
sabri.baccouche1002@novalead.tn,website_visit,web,398
sabri.baccouche1002@novalead.tn,website_visit,web,187
sabri.baccouche1002@novalead.tn,website_visit,web,138
sabri.baccouche1002@novalead.tn,website_visit,web,324
sabri.baccouche1002@novalead.tn,website_visit,web,255
karim.khelifi1003@novalead.tn,meeting,physical,1079
karim.khelifi1003@novalead.tn,meeting,physical,2138
karim.khelifi1003@novalead.tn,meeting,physical,1648
karim.khelifi1003@novalead.tn,form_submit,web,174
karim.khelifi1003@novalead.tn,form_submit,web,234
karim.khelifi1003@novalead.tn,form_submit,web,358
karim.khelifi1003@novalead.tn,email_opened,email,146
karim.khelifi1003@novalead.tn,email_opened,email,78
karim.khelifi1003@novalead.tn,website_visit,web,380
karim.khelifi1003@novalead.tn,website_visit,web,242
karim.khelifi1003@novalead.tn,website_visit,web,428
karim.khelifi1003@novalead.tn,website_visit,web,373
karim.khelifi1003@novalead.tn,website_visit,web,500
karim.khelifi1003@novalead.tn,website_visit,web,481
khalil.gabsi1004@novalead.tn,email_opened,email,42
khalil.gabsi1004@novalead.tn,email_opened,email,166
marwen.selmi1005@novalead.tn,form_submit,web,260
marwen.selmi1005@novalead.tn,email_opened,email,22
yassine.jaziri1006@novalead.tn,website_visit,web,124
ghada.jelassi1007@novalead.tn,meeting,physical,1574
ghada.jelassi1007@novalead.tn,form_submit,web,186
ghada.jelassi1007@novalead.tn,website_visit,web,335
ghada.jelassi1007@novalead.tn,website_visit,web,400
dorra.riahi1008@novalead.tn,meeting,physical,2987
dorra.riahi1008@novalead.tn,meeting,physical,2565
dorra.riahi1008@novalead.tn,meeting,physical,3546
dorra.riahi1008@novalead.tn,form_submit,web,385
dorra.riahi1008@novalead.tn,email_opened,email,60
dorra.riahi1008@novalead.tn,email_opened,email,81
dorra.riahi1008@novalead.tn,email_opened,email,173
dorra.riahi1008@novalead.tn,email_opened,email,153
dorra.riahi1008@novalead.tn,email_opened,email,93
dorra.riahi1008@novalead.tn,email_opened,email,147
dorra.riahi1008@novalead.tn,email_opened,email,39
dorra.riahi1008@novalead.tn,email_opened,email,130
dorra.riahi1008@novalead.tn,email_opened,email,173
dorra.riahi1008@novalead.tn,website_visit,web,30
dorra.riahi1008@novalead.tn,website_visit,web,228
dorra.riahi1008@novalead.tn,website_visit,web,48
dorra.riahi1008@novalead.tn,website_visit,web,302
dorra.riahi1008@novalead.tn,website_visit,web,58
dorra.riahi1008@novalead.tn,website_visit,web,375
dorra.riahi1008@novalead.tn,website_visit,web,471
aymen.aouadi1009@novalead.tn,email_opened,email,105
aymen.aouadi1009@novalead.tn,website_visit,web,280
aymen.aouadi1009@novalead.tn,website_visit,web,361
aymen.aouadi1009@novalead.tn,website_visit,web,225
ines.sfar1010@novalead.tn,form_submit,web,366
ines.sfar1010@novalead.tn,email_opened,email,182
ines.sfar1010@novalead.tn,email_opened,email,106
ines.sfar1010@novalead.tn,email_opened,email,66
ines.sfar1010@novalead.tn,email_opened,email,185
ines.sfar1010@novalead.tn,email_opened,email,147
ines.sfar1010@novalead.tn,website_visit,web,206
ines.sfar1010@novalead.tn,website_visit,web,140
ines.sfar1010@novalead.tn,website_visit,web,215
anis.aouadi1011@novalead.tn,form_submit,web,303
anis.aouadi1011@novalead.tn,form_submit,web,283
hatem.ferchichi1012@novalead.tn,meeting,physical,1063
hatem.ferchichi1012@novalead.tn,meeting,physical,3220
hatem.ferchichi1012@novalead.tn,form_submit,web,90
hatem.ferchichi1012@novalead.tn,email_opened,email,22
hatem.ferchichi1012@novalead.tn,email_opened,email,48
hatem.ferchichi1012@novalead.tn,email_opened,email,106
hatem.ferchichi1012@novalead.tn,website_visit,web,334
hatem.ferchichi1012@novalead.tn,website_visit,web,383
hatem.ferchichi1012@novalead.tn,website_visit,web,156
hatem.ferchichi1012@novalead.tn,website_visit,web,160
