lead_email,type,channel,duration
amani.ghali3001@prospecto.tn,meeting,physical,3349
amani.ghali3001@prospecto.tn,meeting,physical,2239
amani.ghali3001@prospecto.tn,meeting,physical,3330
amani.ghali3001@prospecto.tn,meeting,physical,2443
amani.ghali3001@prospecto.tn,form_submit,web,102
amani.ghali3001@prospecto.tn,form_submit,web,111
amani.ghali3001@prospecto.tn,form_submit,web,102
amani.ghali3001@prospecto.tn,form_submit,web,102
amani.ghali3001@prospecto.tn,email_opened,email,22
amani.ghali3001@prospecto.tn,email_opened,email,58
amani.ghali3001@prospecto.tn,email_opened,email,158
amani.ghali3001@prospecto.tn,email_opened,email,129
amani.ghali3001@prospecto.tn,website_visit,web,267
amani.ghali3001@prospecto.tn,website_visit,web,474
amani.ghali3001@prospecto.tn,website_visit,web,62
amani.ghali3001@prospecto.tn,website_visit,web,493
amani.ghali3001@prospecto.tn,website_visit,web,421
aymen.aouadi3002@prospecto.tn,website_visit,web,451
aymen.aouadi3002@prospecto.tn,website_visit,web,188
rim.selmi3003@prospecto.tn,meeting,physical,1509
rim.selmi3003@prospecto.tn,meeting,physical,1535
rim.selmi3003@prospecto.tn,email_opened,email,29
rim.selmi3003@prospecto.tn,email_opened,email,40
rim.selmi3003@prospecto.tn,email_opened,email,35
rim.selmi3003@prospecto.tn,email_opened,email,170
rim.selmi3003@prospecto.tn,website_visit,web,463
rim.selmi3003@prospecto.tn,website_visit,web,75
rim.selmi3003@prospecto.tn,website_visit,web,90
rim.selmi3003@prospecto.tn,website_visit,web,70
rim.selmi3003@prospecto.tn,website_visit,web,244
rim.selmi3003@prospecto.tn,website_visit,web,79
nour.baccouche3004@prospecto.tn,meeting,physical,2225
nour.baccouche3004@prospecto.tn,meeting,physical,2741
nour.baccouche3004@prospecto.tn,website_visit,web,83
zied.hachicha3005@prospecto.tn,website_visit,web,157
zied.hachicha3005@prospecto.tn,website_visit,web,479
zied.hachicha3005@prospecto.tn,website_visit,web,118
anis.ghali3006@prospecto.tn,meeting,physical,3074
hela.elloumi3007@prospecto.tn,form_submit,web,205
hela.elloumi3007@prospecto.tn,form_submit,web,230
hela.elloumi3007@prospecto.tn,email_opened,email,24
hela.elloumi3007@prospecto.tn,email_opened,email,124
hela.elloumi3007@prospecto.tn,email_opened,email,170
hela.elloumi3007@prospecto.tn,email_opened,email,180
hela.elloumi3007@prospecto.tn,website_visit,web,420
hela.elloumi3007@prospecto.tn,website_visit,web,47
seif.oueslati3008@prospecto.tn,email_opened,email,159
seif.oueslati3008@prospecto.tn,email_opened,email,126
seif.oueslati3008@prospecto.tn,email_opened,email,24
seif.oueslati3008@prospecto.tn,website_visit,web,271
seif.oueslati3008@prospecto.tn,website_visit,web,459
seif.oueslati3008@prospecto.tn,website_visit,web,390
seif.oueslati3008@prospecto.tn,website_visit,web,421
amani.jelassi3009@prospecto.tn,meeting,physical,2602
amani.jelassi3009@prospecto.tn,meeting,physical,1562
amani.jelassi3009@prospecto.tn,email_opened,email,129
amani.jelassi3009@prospecto.tn,email_opened,email,72
amani.jelassi3009@prospecto.tn,website_visit,web,388
amani.jelassi3009@prospecto.tn,website_visit,web,98
amani.jelassi3009@prospecto.tn,website_visit,web,200
amani.jelassi3009@prospecto.tn,website_visit,web,64
amani.jelassi3009@prospecto.tn,website_visit,web,406
amani.jelassi3009@prospecto.tn,website_visit,web,492
amani.jelassi3009@prospecto.tn,website_visit,web,162
amani.jelassi3009@prospecto.tn,website_visit,web,173
rim.rekik3010@prospecto.tn,meeting,physical,1564
rim.rekik3010@prospecto.tn,website_visit,web,89
rim.rekik3010@prospecto.tn,website_visit,web,190
rim.rekik3010@prospecto.tn,website_visit,web,97
bassem.sassi3011@prospecto.tn,meeting,physical,1828
bassem.sassi3011@prospecto.tn,meeting,physical,3591
bassem.sassi3011@prospecto.tn,meeting,physical,2924
bassem.sassi3011@prospecto.tn,meeting,physical,3183
bassem.sassi3011@prospecto.tn,form_submit,web,294
bassem.sassi3011@prospecto.tn,form_submit,web,258
bassem.sassi3011@prospecto.tn,email_opened,email,102
bassem.sassi3011@prospecto.tn,email_opened,email,184
bassem.sassi3011@prospecto.tn,email_opened,email,114
bassem.sassi3011@prospecto.tn,email_opened,email,70
bassem.sassi3011@prospecto.tn,email_opened,email,30
bassem.sassi3011@prospecto.tn,email_opened,email,29
bassem.sassi3011@prospecto.tn,email_opened,email,135
bassem.sassi3011@prospecto.tn,website_visit,web,111
bassem.sassi3011@prospecto.tn,website_visit,web,16
bassem.sassi3011@prospecto.tn,website_visit,web,307
bassem.sassi3011@prospecto.tn,website_visit,web,196
bassem.sassi3011@prospecto.tn,website_visit,web,23
bassem.sassi3011@prospecto.tn,website_visit,web,355
bassem.sassi3011@prospecto.tn,website_visit,web,493
bassem.sassi3011@prospecto.tn,website_visit,web,205
bassem.sassi3011@prospecto.tn,website_visit,web,347
sabri.hamdi3012@prospecto.tn,email_opened,email,43
