lead_email,type,channel,duration,value
haithem.belkadhi0@pfe-project.tn,website_visit,web,345,"{""page"": ""/pricing"", ""device"": ""desktop""}"
haithem.belkadhi0@pfe-project.tn,email_opened,email,0,"{""campaign"": ""product_update_may""}"
sarra.hammami1@pfe-project.tn,meeting,phone,1420,"{""summary"": ""Demonstration technique avancee validee""}"
sarra.hammami1@pfe-project.tn,website_visit,web,120,"{""page"": ""/docs/api""}"
mehdi.gharbi2@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_quote_v2""}"
mehdi.gharbi2@pfe-project.tn,meeting,physical,2800,"{""summary"": ""Negociation tarifaire et volume de licences""}"
yassine.kallel3@pfe-project.tn,email_opened,email,0,"{""campaign"": ""newsletter_ai""}"
omar.ben ali4@pfe-project.tn,website_visit,web,45,"{""page"": ""/features/analytics""}"
fatma.zahra5@pfe-project.tn,email_opened,email,0,"{""campaign"": ""reengagement_cold_leads""}"
omar.gharbi6@pfe-project.tn,meeting,phone,450,"{""summary"": ""Premier contact telephonique - Qualification""}"
zied.mansour7@pfe-project.tn,website_visit,web,620,"{""page"": ""/pricing"", ""duration_on_page"": 180}"
zied.mansour7@pfe-project.tn,form_submit,web,0,"{""form_id"": ""contact_sales""}"
amine.kallel8@pfe-project.tn,meeting,phone,1850,"{""summary"": ""Appel de decouverte - Besoins CRM valides""}"
haithem.belkadhi0@pfe-project.tn,meeting,phone,1200,"{""summary"": ""Rappel suite a visite pricing - Interet fort""}"
sarra.hammami1@pfe-project.tn,email_opened,email,0,"{""campaign"": ""follow_up_demo""}"
mehdi.gharbi2@pfe-project.tn,website_visit,web,89,"{""page"": ""/blog/predictive-scoring""}"
yassine.kallel3@pfe-project.tn,meeting,physical,3600,"{""summary"": ""Signature du contrat prevue la semaine prochaine""}"
omar.ben ali4@pfe-project.tn,email_opened,email,0,"{""campaign"": ""product_update_may""}"
fatma.zahra5@pfe-project.tn,website_visit,web,15,"{""page"": ""/home""}"
omar.gharbi6@pfe-project.tn,website_visit,web,210,"{""page"": ""/features/integrations""}"
zied.mansour7@pfe-project.tn,email_opened,email,0,"{""campaign"": ""case_study_sierra""}"
amine.kallel8@pfe-project.tn,email_opened,email,0,"{""campaign"": ""case_study_sierra""}"
haithem.belkadhi0@pfe-project.tn,form_submit,web,0,"{""form_id"": ""webinar_registration""}"
sarra.hammami1@pfe-project.tn,meeting,phone,600,"{""summary"": ""Point sur la validation du budget avec la direction""}"
mehdi.gharbi2@pfe-project.tn,email_opened,email,0,"{""campaign"": ""contract_sent""}"
yassine.kallel3@pfe-project.tn,website_visit,web,410,"{""page"": ""/docs/security""}"
omar.ben ali4@pfe-project.tn,meeting,phone,300,"{""summary"": ""Lead pas interesse actuellement - Relancer plus tard""}"
fatma.zahra5@pfe-project.tn,meeting,phone,180,"{""summary"": ""Numero non attribue ou faux numero""}"
omar.gharbi6@pfe-project.tn,form_submit,web,0,"{""form_id"": ""newsletter_popup""}"
zied.mansour7@pfe-project.tn,meeting,phone,950,"{""summary"": ""Presentation commerciale initiale effectuee""}"
amine.kallel8@pfe-project.tn,website_visit,web,180,"{""page"": ""/pricing""}"
karim.mansour85@pfe-project.tn,website_visit,web,550,"{""page"": ""/pricing"", ""action"": ""scroll_to_bottom""}"
karim.mansour85@pfe-project.tn,meeting,phone,1150,"{""summary"": ""Discussion technique sur la synchronisation PostgreSQL""}"
sami.gharbi86@pfe-project.tn,email_opened,email,0,"{""campaign"": ""welcome_series""}"
sami.gharbi86@pfe-project.tn,website_visit,web,710,"{""page"": ""/features/predictive""}"
mehdi.essaied87@pfe-project.tn,meeting,phone,400,"{""summary"": ""Barrage technique - Demande de documentation par mail""}"
mehdi.mansour88@pfe-project.tn,form_submit,web,0,"{""form_id"": ""request_demo""}"
mehdi.mansour88@pfe-project.tn,meeting,physical,3200,"{""summary"": ""Demo physique reussie chez Sierra Bravo""}"
