lead_email,type,channel,duration,timestamp
iheb.sassi1@prospects.tn,meeting,physical,2785,2026-05-25T00:00:00Z
iheb.sassi1@prospects.tn,meeting,physical,2332,2026-05-01T11:00:00Z
iheb.sassi1@prospects.tn,meeting,physical,2150,2026-05-25T16:00:00Z
iheb.sassi1@prospects.tn,meeting,physical,1832,2026-05-09T21:00:00Z
iheb.sassi1@prospects.tn,form_submit,web,174,2026-05-18T10:00:00Z
iheb.sassi1@prospects.tn,email_opened,email,26,2026-04-15T03:00:00Z
iheb.sassi1@prospects.tn,email_opened,email,188,2026-04-30T05:00:00Z
iheb.sassi1@prospects.tn,email_opened,email,69,2026-05-21T08:00:00Z
iheb.sassi1@prospects.tn,email_opened,email,122,2026-04-16T03:00:00Z
iheb.sassi1@prospects.tn,email_opened,email,104,2026-05-22T13:00:00Z
iheb.sassi1@prospects.tn,website_visit,web,157,2026-05-06T23:00:00Z
iheb.sassi1@prospects.tn,website_visit,web,457,2026-05-04T13:00:00Z
iheb.sassi1@prospects.tn,website_visit,web,50,2026-05-22T16:00:00Z
hatem.hamdi2@prospects.tn,meeting,physical,2252,2026-05-17T00:00:00Z
hatem.hamdi2@prospects.tn,meeting,physical,3452,2026-02-04T13:00:00Z
hatem.hamdi2@prospects.tn,meeting,physical,2185,2026-04-06T12:00:00Z
hatem.hamdi2@prospects.tn,form_submit,web,399,2026-04-07T23:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,51,2026-05-06T05:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,96,2026-03-30T18:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,149,2026-02-18T12:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,99,2026-03-22T00:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,190,2026-02-18T09:00:00Z
hatem.hamdi2@prospects.tn,email_opened,email,124,2026-02-06T13:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,182,2026-04-21T18:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,221,2026-03-29T20:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,371,2026-02-21T14:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,166,2026-03-08T14:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,298,2026-04-07T06:00:00Z
hatem.hamdi2@prospects.tn,website_visit,web,80,2026-03-17T15:00:00Z
karim.mejri3@prospects.tn,form_submit,web,372,2026-05-27T00:00:00Z
karim.mejri3@prospects.tn,website_visit,web,450,2026-05-26T14:00:00Z
iheb.hachicha4@prospects.tn,meeting,physical,3021,2026-05-12T00:00:00Z
iheb.hachicha4@prospects.tn,meeting,physical,2802,2026-05-08T17:00:00Z
iheb.hachicha4@prospects.tn,email_opened,email,32,2026-05-11T10:00:00Z
iheb.hachicha4@prospects.tn,email_opened,email,162,2026-05-06T19:00:00Z
iheb.hachicha4@prospects.tn,email_opened,email,83,2026-05-08T13:00:00Z
iheb.hachicha4@prospects.tn,email_opened,email,51,2026-05-09T14:00:00Z
iheb.hachicha4@prospects.tn,website_visit,web,248,2026-04-27T23:00:00Z
iheb.hachicha4@prospects.tn,website_visit,web,83,2026-05-07T14:00:00Z
iheb.hachicha4@prospects.tn,website_visit,web,425,2026-04-30T07:00:00Z
iheb.hachicha4@prospects.tn,website_visit,web,252,2026-05-12T08:00:00Z
iheb.hachicha4@prospects.tn,website_visit,web,356,2026-05-08T15:00:00Z
rania.rekik5@prospects.tn,email_opened,email,124,2026-06-03T00:00:00Z
rania.rekik5@prospects.tn,website_visit,web,184,2026-05-28T13:00:00Z
rania.rekik5@prospects.tn,website_visit,web,292,2026-05-21T06:00:00Z
iheb.hamdi6@prospects.tn,email_opened,email,159,2026-05-24T00:00:00Z
iheb.hamdi6@prospects.tn,website_visit,web,424,2026-05-20T15:00:00Z
iheb.hamdi6@prospects.tn,website_visit,web,323,2026-05-20T08:00:00Z
iheb.hamdi6@prospects.tn,website_visit,web,474,2026-05-23T15:00:00Z
bilel.hamdi7@prospects.tn,meeting,physical,3532,2026-05-13T00:00:00Z
bilel.hamdi7@prospects.tn,meeting,physical,2655,2026-04-16T14:00:00Z
bilel.hamdi7@prospects.tn,meeting,physical,1455,2026-04-23T10:00:00Z
bilel.hamdi7@prospects.tn,meeting,physical,2791,2026-04-27T08:00:00Z
bilel.hamdi7@prospects.tn,email_opened,email,66,2026-04-29T08:00:00Z
bilel.hamdi7@prospects.tn,email_opened,email,32,2026-04-08T15:00:00Z
bilel.hamdi7@prospects.tn,email_opened,email,86,2026-04-04T23:00:00Z
bilel.hamdi7@prospects.tn,website_visit,web,209,2026-05-07T01:00:00Z
bilel.hamdi7@prospects.tn,website_visit,web,182,2026-04-25T07:00:00Z
emna.khelifi8@prospects.tn,meeting,physical,1587,2026-06-04T00:00:00Z
emna.khelifi8@prospects.tn,meeting,physical,3381,2026-05-26T12:00:00Z
emna.khelifi8@prospects.tn,meeting,physical,3387,2026-03-21T22:00:00Z
emna.khelifi8@prospects.tn,meeting,physical,1369,2026-02-24T02:00:00Z
emna.khelifi8@prospects.tn,form_submit,web,143,2026-04-15T22:00:00Z
emna.khelifi8@prospects.tn,form_submit,web,219,2026-05-16T20:00:00Z
emna.khelifi8@prospects.tn,form_submit,web,115,2026-03-02T03:00:00Z
emna.khelifi8@prospects.tn,form_submit,web,356,2026-04-29T09:00:00Z
emna.khelifi8@prospects.tn,email_opened,email,26,2026-05-18T21:00:00Z
emna.khelifi8@prospects.tn,email_opened,email,99,2026-04-16T03:00:00Z
emna.khelifi8@prospects.tn,website_visit,web,309,2026-05-11T18:00:00Z
emna.khelifi8@prospects.tn,website_visit,web,361,2026-05-10T01:00:00Z
bassem.feki9@prospects.tn,meeting,physical,3037,2026-05-24T00:00:00Z
bassem.feki9@prospects.tn,meeting,physical,3564,2026-04-17T14:00:00Z
bassem.feki9@prospects.tn,meeting,physical,2006,2026-04-13T14:00:00Z
bassem.feki9@prospects.tn,form_submit,web,375,2026-05-24T19:00:00Z
bassem.feki9@prospects.tn,form_submit,web,335,2026-04-30T10:00:00Z
bassem.feki9@prospects.tn,email_opened,email,143,2026-03-16T15:00:00Z
bassem.feki9@prospects.tn,email_opened,email,139,2026-04-23T05:00:00Z
bassem.feki9@prospects.tn,website_visit,web,238,2026-05-14T06:00:00Z
bassem.feki9@prospects.tn,website_visit,web,437,2026-04-27T08:00:00Z
bassem.feki9@prospects.tn,website_visit,web,389,2026-04-25T08:00:00Z
bassem.feki9@prospects.tn,website_visit,web,318,2026-04-17T17:00:00Z
bassem.feki9@prospects.tn,website_visit,web,152,2026-03-14T16:00:00Z
bassem.feki9@prospects.tn,website_visit,web,180,2026-04-06T02:00:00Z
bassem.feki9@prospects.tn,website_visit,web,451,2026-04-12T23:00:00Z
bassem.feki9@prospects.tn,website_visit,web,140,2026-05-04T15:00:00Z
bassem.feki9@prospects.tn,website_visit,web,440,2026-05-23T07:00:00Z
bassem.feki9@prospects.tn,website_visit,web,493,2026-05-12T20:00:00Z
bassem.feki9@prospects.tn,website_visit,web,59,2026-05-14T14:00:00Z
bilel.mejri10@prospects.tn,meeting,physical,2155,2026-05-27T00:00:00Z
bilel.mejri10@prospects.tn,form_submit,web,188,2026-05-13T22:00:00Z
bilel.mejri10@prospects.tn,form_submit,web,178,2026-04-20T06:00:00Z
bilel.mejri10@prospects.tn,email_opened,email,50,2026-04-22T23:00:00Z
bilel.mejri10@prospects.tn,email_opened,email,69,2026-05-09T08:00:00Z
bilel.mejri10@prospects.tn,website_visit,web,176,2026-05-25T18:00:00Z
bilel.mejri10@prospects.tn,website_visit,web,76,2026-05-27T16:00:00Z
bilel.mejri10@prospects.tn,website_visit,web,395,2026-05-17T09:00:00Z
ghada.karoui11@prospects.tn,meeting,physical,950,2026-05-27T00:00:00Z
ghada.karoui11@prospects.tn,meeting,physical,3251,2026-04-12T08:00:00Z
ghada.karoui11@prospects.tn,form_submit,web,205,2026-05-09T03:00:00Z
ghada.karoui11@prospects.tn,form_submit,web,300,2026-04-13T12:00:00Z
ghada.karoui11@prospects.tn,email_opened,email,142,2026-05-10T02:00:00Z
ghada.karoui11@prospects.tn,email_opened,email,132,2026-05-15T20:00:00Z
ghada.karoui11@prospects.tn,website_visit,web,189,2026-05-22T01:00:00Z
ghada.karoui11@prospects.tn,website_visit,web,109,2026-04-18T04:00:00Z
mariem.tlili12@prospects.tn,email_opened,email,98,2026-03-07T00:00:00Z
mariem.cherif13@prospects.tn,meeting,physical,2824,2026-05-11T00:00:00Z
mariem.cherif13@prospects.tn,meeting,physical,2092,2026-04-01T20:00:00Z
mariem.cherif13@prospects.tn,form_submit,web,76,2026-03-24T13:00:00Z
mariem.cherif13@prospects.tn,form_submit,web,178,2026-03-13T17:00:00Z
mariem.cherif13@prospects.tn,email_opened,email,93,2026-03-27T20:00:00Z
mariem.cherif13@prospects.tn,email_opened,email,200,2026-03-18T08:00:00Z
mariem.cherif13@prospects.tn,email_opened,email,92,2026-03-17T02:00:00Z
mariem.cherif13@prospects.tn,email_opened,email,199,2026-03-06T05:00:00Z
mariem.cherif13@prospects.tn,email_opened,email,136,2026-04-07T19:00:00Z
mariem.cherif13@prospects.tn,website_visit,web,51,2026-05-10T09:00:00Z
mariem.cherif13@prospects.tn,website_visit,web,366,2026-04-24T03:00:00Z
mariem.cherif13@prospects.tn,website_visit,web,134,2026-04-27T22:00:00Z
yosr.limam14@prospects.tn,meeting,physical,984,2026-05-18T00:00:00Z
yosr.limam14@prospects.tn,meeting,physical,2003,2026-04-29T05:00:00Z
yosr.limam14@prospects.tn,form_submit,web,355,2026-05-09T20:00:00Z
yosr.limam14@prospects.tn,email_opened,email,30,2026-05-13T02:00:00Z
yosr.limam14@prospects.tn,email_opened,email,64,2026-05-12T11:00:00Z
yosr.limam14@prospects.tn,email_opened,email,140,2026-05-08T10:00:00Z
yosr.limam14@prospects.tn,website_visit,web,280,2026-05-02T21:00:00Z
yosr.limam14@prospects.tn,website_visit,web,348,2026-04-18T05:00:00Z
yosr.limam14@prospects.tn,website_visit,web,241,2026-05-03T13:00:00Z
skander.sfar15@prospects.tn,meeting,physical,2592,2026-05-22T00:00:00Z
skander.sfar15@prospects.tn,meeting,physical,1122,2026-03-09T09:00:00Z
skander.sfar15@prospects.tn,form_submit,web,156,2026-04-18T22:00:00Z
skander.sfar15@prospects.tn,form_submit,web,325,2026-04-24T03:00:00Z
skander.sfar15@prospects.tn,email_opened,email,112,2026-02-24T20:00:00Z
skander.sfar15@prospects.tn,email_opened,email,179,2026-05-09T07:00:00Z
skander.sfar15@prospects.tn,website_visit,web,402,2026-05-22T05:00:00Z
skander.sfar15@prospects.tn,website_visit,web,270,2026-04-01T17:00:00Z
skander.sfar15@prospects.tn,website_visit,web,335,2026-02-22T17:00:00Z
skander.sfar15@prospects.tn,website_visit,web,241,2026-04-14T02:00:00Z
skander.sfar15@prospects.tn,website_visit,web,404,2026-03-21T03:00:00Z
skander.sfar15@prospects.tn,website_visit,web,41,2026-04-21T03:00:00Z
skander.sfar15@prospects.tn,website_visit,web,119,2026-05-14T04:00:00Z
skander.sfar15@prospects.tn,website_visit,web,151,2026-04-25T22:00:00Z
skander.sfar15@prospects.tn,website_visit,web,296,2026-03-30T16:00:00Z
takwa.nasri16@prospects.tn,email_opened,email,149,2026-05-19T00:00:00Z
takwa.nasri16@prospects.tn,email_opened,email,88,2026-04-21T23:00:00Z
takwa.nasri16@prospects.tn,website_visit,web,435,2026-04-23T18:00:00Z
takwa.nasri16@prospects.tn,website_visit,web,16,2026-05-17T04:00:00Z
maha.feki17@prospects.tn,email_opened,email,101,2026-05-30T00:00:00Z
maha.feki17@prospects.tn,email_opened,email,141,2026-05-26T12:00:00Z
maha.feki17@prospects.tn,website_visit,web,376,2026-05-30T20:00:00Z
maha.feki17@prospects.tn,website_visit,web,482,2026-05-22T15:00:00Z
chedi.ferchichi18@prospects.tn,email_opened,email,87,2026-05-26T00:00:00Z
chedi.ferchichi18@prospects.tn,email_opened,email,106,2026-05-25T20:00:00Z
chedi.ferchichi18@prospects.tn,email_opened,email,179,2026-05-20T10:00:00Z
chedi.ferchichi18@prospects.tn,website_visit,web,369,2026-05-25T10:00:00Z
skander.feki19@prospects.tn,meeting,physical,1581,2026-05-15T00:00:00Z
skander.feki19@prospects.tn,meeting,physical,2126,2026-05-15T04:00:00Z
skander.feki19@prospects.tn,form_submit,web,74,2026-05-13T16:00:00Z
skander.feki19@prospects.tn,form_submit,web,83,2026-05-15T18:00:00Z
skander.feki19@prospects.tn,form_submit,web,226,2026-05-13T05:00:00Z
skander.feki19@prospects.tn,email_opened,email,34,2026-05-13T02:00:00Z
skander.feki19@prospects.tn,email_opened,email,95,2026-05-15T19:00:00Z
skander.feki19@prospects.tn,email_opened,email,111,2026-05-13T15:00:00Z
skander.feki19@prospects.tn,website_visit,web,206,2026-05-13T07:00:00Z
nidhal.oueslati20@prospects.tn,meeting,physical,2771,2026-05-26T00:00:00Z
nidhal.oueslati20@prospects.tn,form_submit,web,214,2026-04-25T22:00:00Z
nidhal.oueslati20@prospects.tn,form_submit,web,161,2026-04-25T00:00:00Z
nidhal.oueslati20@prospects.tn,form_submit,web,256,2026-05-08T08:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,451,2026-03-20T18:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,262,2026-03-25T19:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,69,2026-05-21T09:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,136,2026-04-17T19:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,210,2026-05-03T07:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,307,2026-04-12T19:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,198,2026-04-20T21:00:00Z
nidhal.oueslati20@prospects.tn,website_visit,web,309,2026-04-05T20:00:00Z
ghada.khelifi21@prospects.tn,email_opened,email,89,2026-01-08T00:00:00Z
ghada.khelifi21@prospects.tn,email_opened,email,62,2026-01-08T15:00:00Z
wassim.zouari22@prospects.tn,meeting,physical,2516,2026-06-01T00:00:00Z
wassim.zouari22@prospects.tn,meeting,physical,957,2026-04-17T19:00:00Z
wassim.zouari22@prospects.tn,meeting,physical,1983,2026-03-21T20:00:00Z
wassim.zouari22@prospects.tn,form_submit,web,334,2026-02-09T20:00:00Z
wassim.zouari22@prospects.tn,form_submit,web,123,2026-05-22T22:00:00Z
wassim.zouari22@prospects.tn,form_submit,web,292,2026-04-11T20:00:00Z
wassim.zouari22@prospects.tn,form_submit,web,248,2026-05-08T03:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,192,2026-02-28T01:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,192,2026-02-02T09:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,87,2026-05-30T03:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,169,2026-02-17T07:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,117,2026-02-27T12:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,183,2026-05-20T11:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,115,2026-05-11T18:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,47,2026-03-04T13:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,192,2026-02-18T15:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,79,2026-05-08T08:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,140,2026-02-01T22:00:00Z
wassim.zouari22@prospects.tn,email_opened,email,26,2026-04-28T06:00:00Z
wassim.zouari22@prospects.tn,website_visit,web,332,2026-05-17T14:00:00Z
wassim.zouari22@prospects.tn,website_visit,web,467,2026-03-25T11:00:00Z
wassim.zouari22@prospects.tn,website_visit,web,497,2026-02-18T21:00:00Z
chaima.feki23@prospects.tn,meeting,physical,1897,2026-05-23T00:00:00Z
chaima.feki23@prospects.tn,meeting,physical,1415,2026-05-04T06:00:00Z
chaima.feki23@prospects.tn,form_submit,web,349,2026-05-09T06:00:00Z
chaima.feki23@prospects.tn,website_visit,web,120,2026-03-24T10:00:00Z
chaima.feki23@prospects.tn,website_visit,web,50,2026-03-13T19:00:00Z
chaima.feki23@prospects.tn,website_visit,web,439,2026-02-23T08:00:00Z
chaima.feki23@prospects.tn,website_visit,web,406,2026-03-13T04:00:00Z
donia.oueslati24@prospects.tn,meeting,physical,1160,2026-05-30T00:00:00Z
donia.oueslati24@prospects.tn,meeting,physical,2850,2026-01-29T23:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,134,2026-05-04T21:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,112,2026-03-31T09:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,151,2026-03-23T20:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,171,2026-05-27T00:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,47,2026-01-31T15:00:00Z
donia.oueslati24@prospects.tn,email_opened,email,135,2026-05-12T12:00:00Z
