first_name,last_name,email,phone,company,job_title,source,status,assigned_to_email,created_at
Iheb,Sassi,iheb.sassi1@prospects.tn,+21674672173,TechNova,Operations Manager,LinkedIn,converted,haithemessaied@test.com,2026-04-14T00:00:00Z
Hatem,Hamdi,hatem.hamdi2@prospects.tn,+21610458697,NextGen Solutions,IT Manager,Referral,converted,mohamed@test.com,2026-01-11T00:00:00Z
Karim,Mejri,karim.mejri3@prospects.tn,+21666092381,TechNova,Marketing Manager,Cold Call,new,test@test.com,2026-05-26T00:00:00Z
Iheb,Hachicha,iheb.hachicha4@prospects.tn,+21664260771,Oryx Digital,Marketing Manager,LinkedIn,active,haithemessaied@test.com,2026-04-22T00:00:00Z
Rania,Rekik,rania.rekik5@prospects.tn,+21672380131,NextGen Solutions,CTO,Cold Call,new,mohamed@test.com,2026-05-21T00:00:00Z
Iheb,Hamdi,iheb.hamdi6@prospects.tn,+21608549238,LogiTrans,Procurement Lead,Event,new,test@test.com,2026-05-17T00:00:00Z
Bilel,Hamdi,bilel.hamdi7@prospects.tn,+21664141603,Sahara Systems,CEO,Web,active,haithemessaied@test.com,2026-04-03T00:00:00Z
Emna,Khelifi,emna.khelifi8@prospects.tn,+21691011652,FinTrust,Product Owner,Cold Call,converted,mohamed@test.com,2026-01-30T00:00:00Z
Bassem,Feki,bassem.feki9@prospects.tn,+21606044438,Medina Soft,Sales Director,Referral,converted,test@test.com,2026-03-13T00:00:00Z
Bilel,Mejri,bilel.mejri10@prospects.tn,+21642635395,SmartGrid,Operations Manager,Referral,active,haithemessaied@test.com,2026-04-09T00:00:00Z
Ghada,Karoui,ghada.karoui11@prospects.tn,+21633710029,BlueWave,Operations Manager,Web,active,mohamed@test.com,2026-04-09T00:00:00Z
Mariem,Tlili,mariem.tlili12@prospects.tn,+21617672544,LogiTrans,CFO,Event,lost,test@test.com,2026-03-06T00:00:00Z
Mariem,Cherif,mariem.cherif13@prospects.tn,+21607620251,Oryx Digital,Operations Manager,Event,active,haithemessaied@test.com,2026-02-27T00:00:00Z
Yosr,Limam,yosr.limam14@prospects.tn,+21654587602,BlueWave,CFO,Event,active,mohamed@test.com,2026-04-12T00:00:00Z
Skander,Sfar,skander.sfar15@prospects.tn,+21685433945,TechNova,Founder,Cold Call,active,test@test.com,2026-02-21T00:00:00Z
Takwa,Nasri,takwa.nasri16@prospects.tn,+21625395882,AgriTech Plus,Procurement Lead,Referral,active,haithemessaied@test.com,2026-03-16T00:00:00Z
Maha,Feki,maha.feki17@prospects.tn,+21637398923,LogiTrans,Procurement Lead,Web,new,mohamed@test.com,2026-05-20T00:00:00Z
Chedi,Ferchichi,chedi.ferchichi18@prospects.tn,+21631809018,CloudReef,CTO,Cold Call,new,test@test.com,2026-05-19T00:00:00Z
Skander,Feki,skander.feki19@prospects.tn,+21606997406,LogiTrans,CTO,Cold Call,active,haithemessaied@test.com,2026-05-12T00:00:00Z
Nidhal,Oueslati,nidhal.oueslati20@prospects.tn,+21668425099,ByteForge,Procurement Lead,Referral,active,mohamed@test.com,2026-03-19T00:00:00Z
Ghada,Khelifi,ghada.khelifi21@prospects.tn,+21603193427,HealthSync,IT Manager,Referral,lost,test@test.com,2026-01-07T00:00:00Z
Wassim,Zouari,wassim.zouari22@prospects.tn,+21640726638,Carthage IT,IT Manager,Web,converted,haithemessaied@test.com,2026-01-24T00:00:00Z
Chaima,Feki,chaima.feki23@prospects.tn,+21602998026,TechNova,CEO,Referral,active,mohamed@test.com,2026-02-23T00:00:00Z
Donia,Oueslati,donia.oueslati24@prospects.tn,+21618137502,CloudReef,Procurement Lead,Referral,converted,test@test.com,2026-01-24T00:00:00Z
Zied,Guesmi,zied.guesmi25@prospects.tn,+21626539546,DataPulse,CTO,Event,converted,haithemessaied@test.com,2026-04-28T00:00:00Z
Rim,Mabrouk,rim.mabrouk26@prospects.tn,+21683758898,Sahara Systems,Founder,Web,new,mohamed@test.com,2026-06-01T00:00:00Z
Lina,Rekik,lina.rekik27@prospects.tn,+21633085416,TechNova,CTO,Event,active,test@test.com,2026-02-16T00:00:00Z
Nour,Daldoul,nour.daldoul28@prospects.tn,+21642646035,TechNova,Marketing Manager,Referral,active,haithemessaied@test.com,2026-05-02T00:00:00Z
Wassim,Chaabane,wassim.chaabane29@prospects.tn,+21691946341,Oryx Digital,CFO,LinkedIn,lost,mohamed@test.com,2025-12-14T00:00:00Z
Hela,Tlili,hela.tlili30@prospects.tn,+21627065173,LogiTrans,Sales Director,LinkedIn,converted,test@test.com,2026-01-31T00:00:00Z
Zied,Baccouche,zied.baccouche31@prospects.tn,+21694889060,FinTrust,Operations Manager,Event,converted,haithemessaied@test.com,2026-03-03T00:00:00Z
Khalil,Daldoul,khalil.daldoul32@prospects.tn,+21631294210,LogiTrans,CTO,Referral,converted,mohamed@test.com,2026-03-21T00:00:00Z
